frame_id,x,y,w,h,center_x,center_y,score,detected,used_for_trajectory,track_direction,reject_reason
128,480,437,18,30,493,474,-1.0,0,0,,
129,480,437,18,30,495,480,-1.0,0,0,,
130,480,437,18,30,497,487,-1.0,0,0,,
131,502,448,20,33,506,476,0.7925149471245175,1,1,,
132,504,451,20,33,511,475,0.8279932153456508,1,1,,
133,507,455,20,33,515,476,0.8369896447038802,1,1,,
134,509,459,20,33,518,478,0.8371171930583213,1,1,,
135,512,461,20,33,521,480,0.8272178160049865,1,1,,
136,514,464,20,33,524,482,0.8253095484105217,1,1,,
137,517,468,20,33,527,485,0.8147803144534768,1,1,,
138,519,472,20,33,530,488,0.7916764924834138,1,1,,
139,522,477,20,33,532,491,0.7841403867800055,1,1,,
140,522,477,20,33,535,494,-1.0,0,0,,
141,522,477,20,33,538,497,-1.0,0,0,,
142,522,477,20,33,541,500,-1.0,0,0,,
143,522,477,20,33,544,503,-1.0,0,0,,
144,522,477,20,33,547,506,-1.0,0,0,,
145,522,477,20,33,550,509,-1.0,0,0,,
146,522,477,20,33,553,512,-1.0,0,0,,
147,522,477,20,33,556,515,0.8912768552002204,0,0,,
148,522,477,20,33,559,518,0.8873254115703523,0,0,,
149,522,477,20,33,562,521,0.8772233241990022,0,0,,
150,522,477,20,33,565,524,0.8956905147620824,0,0,,
151,522,477,20,33,568,527,0.8386097202953502,0,0,,
152,522,477,20,33,571,530,0.8828287843336288,0,0,,
153,522,477,20,33,574,533,0.8638321868846714,0,0,,
154,522,477,20,33,577,536,0.8753466925188774,0,0,,
155,522,477,20,33,580,539,0.8615614573747031,0,0,,
156,522,477,20,33,583,542,0.8894021382471761,0,0,,
157,522,477,20,33,586,545,0.8718019777802506,0,0,,
158,522,477,20,33,589,548,0.8676109033243348,0,0,,
159,522,477,20,33,592,551,0.8691755716627204,0,0,,
160,522,477,20,33,595,555,0.8533339743747339,0,0,,
161,522,477,20,33,598,558,0.8368798837448161,0,0,,
162,522,477,20,33,601,561,0.8213184306998893,0,0,,
163,522,477,20,33,603,564,0.8179625018543931,0,0,,
164,522,477,20,33,606,567,0.8086989275482962,0,0,,
165,522,477,20,33,609,570,0.8012698420481337,0,0,,
166,522,477,20,33,612,573,0.7724266457583059,0,0,,
167,522,477,20,33,615,576,0.7955449156927592,0,0,,
168,522,477,20,33,618,579,0.7961461530593877,0,0,,
169,522,477,20,33,621,582,0.7972101139233462,0,0,,
170,522,477,20,33,624,585,0.8058497072665901,0,0,,
171,522,477,20,33,627,588,0.8066565063396633,0,0,,
172,522,477,20,33,630,591,0.8083385072031845,0,0,,
173,522,477,20,33,633,594,0.7891189094825,0,0,,
