frame_id,x,y,w,h,center_x,center_y,score,detected,predicted,used_for_trajectory,template_id
0,1581,1071,161,59,1661,1100,1.0,1,0,1,-1
1,1616,1074,161,59,1656,1088,0.5489681224833616,1,0,1,-1
2,1575,1056,161,59,1655,1085,-1.0,0,1,0,-1
3,1400,1037,161,59,1480,1066,0.6777432357761827,1,0,1,-1
4,1400,1051,161,59,1480,1080,0.7841894070479509,1,0,1,-1
5,1400,1051,161,59,1480,1080,0.7998833699020178,1,0,1,-1
6,1326,1041,161,59,1406,1070,-1.0,0,1,0,-1
7,1368,885,161,59,1448,914,0.7478928969021815,1,0,1,-1
